Display Text,URL
"All
policies in an alphabetical list - Dorset Council",https://www.dorsetcouncil.gov.uk/policies-and-strategies-library/all-policies-in-an-alphabetical-list
20 Mile Per Hour (mph) Policy,https://www.dorsetcouncil.gov.uk/w/20-mile-per-hour-mph-policy
A-Board Advertising Signs Policy,https://www.dorsetcouncil.gov.uk/w/a-board-advertising-signs-policy
Accessibility Strategy 2022 to 2025,https://www.dorsetcouncil.gov.uk/w/accessibility-strategy-2022-to-2025
"Accommodation
with Support Programme. A programme within the transformation, investment and
reform programme",https://www.dorsetcouncil.gov.uk/w/accommodation-with-support-programme-a-programme-within-the-transformation-investment-reform-programme
Admission Arrangements for Community and Voluntary Controlled Schools in Dorset Council 2024 to 2025,https://www.dorsetcouncil.gov.uk/w/admission-arrangements-for-community-and-voluntary-controlled-schools-in-dorset-council-2024-2025
Admission Arrangements for Community and Voluntary Controlled Schools in Dorset Council 2026 to 2027,https://www.dorsetcouncil.gov.uk/w/admission-arrangements-for-community-and-voluntary-controlled-schools-in-dorset-council-2026-to-2027
 of Armed Forces Community Children Policy 2024 to 2025,https://www.dorsetcouncil.gov.uk/w/admission-of-armed-forces-community-children-policy-2024-2025-1
"Admission
of Armed Forces Community Children Policy 2025 to 2026",https://www.dorsetcouncil.gov.uk/w/dorset-council-admission-of-armed-forces-community-children-policy-2025-2026
Admission of Armed Forces Community Children Policy 2026 to 2027,https://www.dorsetcouncil.gov.uk/w/admission-of-armed-forces-community-children-policy-2026-to-2027
Adopted Highway Policy,https://www.dorsetcouncil.gov.uk/w/adopted-highway-policy
Adult Services Complaints Policy and Procedure,https://www.dorsetcouncil.gov.uk/w/dorset-council-adult-services-complaints-policy-and-procedure
Anti Money Laundering Policy 2022 to 2025,https://www.dorsetcouncil.gov.uk/w/anti-money-laundering-policy-2022-to-2025
Anti-bullying Strategy,https://www.dorsetcouncil.gov.uk/w/anti-bullying-strategy-1
"Anti-Fraud, Corruption and Bribery Strategy 2022 to 2025",https://www.dorsetcouncil.gov.uk/w/anti-fraud-corruption-and-bribery-strategy-2022
Archaeological Fieldwork on Dorset Council Land Policy,https://www.dorsetcouncil.gov.uk/w/archaeological-fieldwork-on-dorset-council-land-policy
"Art, Statues and Monuments on the Highway Policy 2021",https://www.dorsetcouncil.gov.uk/w/art-statues-and-monuments-on-the-highway-policy-2021
Artz+Sportz+ Supporting children with medical conditions policy,https://www.dorsetcouncil.gov.uk/w/artz-sportz-supporting-children-with-medical-conditions-policy
Attendance Strategy and Plan 2023,https://www.dorsetcouncil.gov.uk/w/dorset-council-attendance-strategy-and-plan-2022
Back or Forward Yearing Policy,https://www.dorsetcouncil.gov.uk/w/back-or-forward-yearing-policy
Belonging Strategy and Plan 2024 to 2027,https://www.dorsetcouncil.gov.uk/w/dorset-belonging-strategy-and-plan-2024-to-2027
Better Commissioning for Better Lives 2023 to 2028,https://www.dorsetcouncil.gov.uk/w/commissioning-for-a-better-life-as-people-age-in-dorset-2023-to-20-1
Blue Badge Car Park Charging Policy revised 2024,https://www.dorsetcouncil.gov.uk/w/blue-badge-car-park-charging-policy-revised-2024
"Bournemouth, Dorset and Poole Multi Agency Safeguarding Adults Policy 2023",https://www.dorsetcouncil.gov.uk/w/bournemouth-dorset-and-poole-multi-agency-safeguarding-adults-policy
